query-id	corpus-id	score
915593	[1396701, 1396704, 1396705, 1396707, 1396708, 1453630, 1605506, 1652605, 1772930, 1772932, 1815965, 1907207, 1972028, 2025485, 2077310, 210379, 210384, 2210591, 2210592, 2210593, 2210595, 2210597, 2232789, 2393704, 2401465, 252142, 2588143, 2627023, 275724, 275726, 275728, 275732, 2872589, 2923493, 2923494, 2923496, 2923497, 2923498, 2923501, 2969050, 3143377, 3203819, 3305804, 3357360, 3385968, 3385971, 3450898, 3485337, 3523599, 3523602, 3538160, 3538161, 3538162, 3538163, 3538164, 3538165, 3538166, 3538167, 3538168, 3545107, 3573471, 3573474, 3573477, 3573478, 3573479, 3918680, 3930148, 4044822, 4245927, 4257001, 4272446, 4279298, 4279299, 4289598, 4378740, 4393631, 4549698, 4566815, 4566816, 4566818, 4566819, 4566822, 4566823, 4656722, 4691129, 4801563, 4834224, 4834226, 4889894, 4910037, 4927817, 4998398, 5007631, 5063813, 5117497, 5359304, 5379124, 5568031, 5652031, 5702414, 5774013, 5774014, 5866302, 5931262, 5931263, 5931264, 5931265, 5931266, 5931267, 5931268, 5931269, 5931270, 5931271, 6142152, 6181638, 6226401, 6260059, 6263225, 6351110, 6462880, 6521993, 6761344, 6761347, 6923052, 6923054, 6923055, 6923056, 6944106, 7082922, 7176430, 7313730, 7313733, 7327683, 7565849, 7643828, 7709320, 7742098, 7816726, 7832420, 7837084, 7837086, 7861747, 7861748, 7861749, 7861750, 7861751, 7861753, 7861755, 7861756, 7885529, 8002846, 8002850, 8002851, 8002852, 8002853, 8002854, 8002855, 8029524, 8029527, 8029530, 8029531, 8029533, 8103063, 8103065, 8103066, 8103067, 8103068, 8178996, 8178997, 8178998, 8179000, 8179001, 8179003, 82105, 82106, 82107, 82108, 82109, 82110, 82111, 82113, 82114, 8304084, 8402970, 8402971, 8402972, 8420020, 8455300, 8455301, 850454, 94879, 98515]	[0, 0, 1, 0, 2, 0, 3, 0, 0, 0, 2, 1, 2, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 2, 3, 2, 0, 3, 2, 2, 2, 3, 2, 0, 0, 0, 0, 1, 3, 2, 0, 1, 0, 0, 3, 2, 0, 2, 0, 0, 0, 2, 3, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 3, 0, 0, 0, 2, 0, 1, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 2, 2, 0, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2, 1, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 1, 0, 2, 2, 0, 0, 2, 2, 2, 3, 1, 2, 3, 2, 2, 2, 2, 2, 0, 3, 2, 2, 1, 2, 3, 1, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 3, 0, 3, 0, 0, 0, 2, 3, 0, 1, 0, 0, 0, 0]
146187	[1028971, 1028972, 1131101, 1138801, 1230566, 1246346, 1254157, 1329681, 1329682, 1369241, 1464098, 1483042, 1505132, 1536947, 1841192, 1841195, 1841196, 1841197, 1944092, 1972078, 2009634, 2009640, 2040185, 2058706, 209474, 2226093, 2246721, 2257806, 2261027, 2330206, 2511620, 262494, 2857627, 3036929, 3129298, 315525, 315526, 3193119, 3207058, 32188, 32195, 3354935, 3615724, 3615725, 3615731, 3758649, 3886011, 3963185, 409930, 409933, 4178942, 4214923, 4214925, 4227179, 425836, 4570379, 4631167, 4741857, 4777144, 4777145, 4777146, 4777147, 4777148, 480353, 4887772, 4921740, 5090006, 5206421, 5217815, 5238595, 5332231, 5548651, 5590506, 5590508, 5624871, 5746033, 5929430, 5937357, 5937360, 594649, 5952424, 5965686, 5999108, 6015024, 6015026, 6066658, 6082309, 6309578, 6430258, 6430259, 6430260, 6447372, 6447377, 6561118, 6573190, 6658185, 6677488, 6748421, 7019597, 7019602, 7061638, 7095976, 7096817, 7176957, 7306056, 7309304, 7404796, 7405002, 744165, 744167, 744168, 744171, 7572646, 76348, 7704674, 7704676, 7704679, 7836296, 7956019, 8042967, 8042971, 8042972, 8071661, 8434617, 8434618, 8434619, 8434620, 8434621, 8434622, 8434623, 8434624, 8434625, 8434626, 8480408, 8544933, 8664004, 8792967, 8795494]	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 2, 2, 3, 2, 2, 0, 0, 0, 0, 0]
1114646	[1002453, 1216492, 1316103, 1316109, 1342262, 1342263, 1544838, 1576677, 1786848, 1881845, 1884059, 1913368, 1913374, 2190338, 2201127, 2246765, 2248435, 2296796, 2296797, 2302725, 238332, 2418194, 2472248, 2621606, 2647994, 266552, 2676807, 2695353, 272209, 2743255, 2743256, 2911035, 2911039, 2911040, 2911449, 2911450, 3015665, 3056368, 3177805, 3184850, 3184851, 3236082, 3238905, 3339525, 3440587, 3467664, 3467665, 3470481, 3470484, 3470486, 3624484, 3699874, 3733771, 3861594, 3915244, 392985, 3955773, 3991843, 4003982, 4332918, 4427037, 444374, 444375, 444376, 444377, 444379, 444380, 444382, 4487204, 4633441, 4771285, 4957140, 5041692, 5108610, 5108614, 5153519, 5229617, 5279567, 5372030, 5417949, 5417952, 5417953, 5417954, 5417956, 5418860, 5569142, 5640856, 5640859, 5640861, 5661838, 5661840, 5687476, 5687477, 5761803, 579552, 579554, 580971, 5816565, 5836029, 5854712, 5920524, 5959593, 6348309, 6455057, 6484456, 6509832, 6704400, 6704401, 6711103, 6836905, 687064, 687066, 7065010, 7088666, 7096023, 7103112, 7196954, 7196956, 7196961, 723299, 7241126, 7278603, 7490706, 7616199, 771368, 7727591, 810154, 8117087, 8117088, 8117089, 8117090, 8117091, 8117092, 8117093, 8117094, 8117095, 8117096, 8185549, 8327369, 857788, 857789, 8624973, 8646238, 8665820, 8665826, 8665828, 8762528, 8777078, 897835, 994964, 994965]	[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 2, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 1, 1, 1, 3, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 3, 3, 1, 0, 1, 0, 2, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
1129237	[1020793, 1128332, 1138726, 1169301, 120308, 120309, 120314, 120315, 1209813, 1258500, 128982, 128984, 128987, 128989, 1373997, 1436868, 1549858, 1721142, 1768895, 1770020, 1770021, 1770027, 1849519, 1849522, 1969624, 1969628, 2165628, 2176863, 2197286, 2513277, 2696926, 2697746, 2697752, 2837792, 2854607, 2870542, 2952410, 2977193, 3014892, 302210, 305087, 305088, 3074636, 3074637, 3129072, 3153068, 3227129, 3279719, 3281185, 3366152, 3437936, 3489829, 3489832, 350, 3683096, 3709425, 3834872, 3905057, 3905802, 3905806, 3963654, 4101349, 4141012, 4182088, 4233383, 4254811, 4254813, 4254815, 4367170, 43857, 4418239, 4486840, 4593070, 4773351, 4779185, 4904405, 4915547, 5010728, 5127618, 5197194, 519977, 5212767, 5351993, 5483525, 5589927, 5619502, 5627214, 5700028, 5831781, 5906130, 5906134, 5916672, 5978321, 6080457, 6080459, 6080460, 6172874, 618981, 6343520, 6343521, 6343523, 6366866, 7006376, 7050921, 7060535, 7081249, 7179982, 7191985, 7248784, 7327351, 7350325, 7371133, 7397082, 7482392, 7551658, 7745049, 7874566, 7901543, 7903450, 7911557, 7949257, 795711, 7977373, 80867, 8150178, 824966, 8414193, 8414421, 8415462, 8450766, 8498937, 851917, 852669, 8588219, 8588222, 8588226, 8588227, 8596871, 8630514, 8658472, 8661169, 8682824, 8712732, 8785113, 998748, 998750, 998751]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 3, 0, 0, 0, 0, 0, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 3, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 1]
573724	[1005338, 104856, 1053303, 1165128, 1165129, 1293333, 1509939, 1509940, 1509942, 162151, 1720394, 1787867, 1816038, 1854797, 1891075, 1935389, 2002448, 2021252, 2133806, 2172, 2186124, 2417985, 2621257, 2635262, 2772677, 2819390, 2958056, 2999527, 3043361, 3059586, 3059589, 3059592, 3146238, 3365597, 3365631, 3365633, 3365635, 3365636, 3365638, 3365639, 3517209, 3535239, 3617636, 3644944, 3762920, 3770960, 387251, 3937080, 394136, 394138, 394139, 394141, 394142, 4017883, 41433, 4360246, 448326, 4546857, 5007172, 5017496, 5020265, 5028843, 5047796, 5306910, 5310530, 5339620, 5721829, 5721831, 5785717, 5962420, 5962423, 5962426, 5962428, 6084690, 613337, 6275697, 6462957, 6524584, 6776717, 6789025, 7016041, 7104825, 7104826, 7104827, 7134411, 7166496, 7199667, 7199669, 7199672, 7199673, 7199674, 7199675, 7233865, 7279080, 7352209, 7384325, 7384326, 7384329, 7384331, 7384332, 7384333, 7392294, 7426076, 7474210, 7498096, 7586523, 7589690, 7609926, 7609927, 7609928, 7609929, 7609930, 7609932, 7674858, 7674859, 7709475, 7783283, 787203, 7964601, 7992473, 7992474, 8047166, 8272972, 8275380, 8301492, 8357747, 8362282, 8441642, 8444728, 8444730, 8450652, 8466537, 8530902, 8626954, 8690218, 87400, 87404, 87405, 8833192, 8833194, 8833199]	[1, 1, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 2, 1, 1, 0, 0, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 2, 3, 1, 1, 1, 1]
148538	[1299824, 1299830, 1311202, 1311204, 1311206, 1311209, 1314489, 1384441, 1384442, 1384446, 1384447, 1384448, 1392971, 1392973, 1392974, 1495660, 153920, 1559002, 1559011, 1573498, 1736918, 1807279, 1816663, 1828165, 1828170, 1950974, 1950975, 1950976, 1950977, 1950979, 1950980, 1969518, 1969519, 1985491, 1985494, 2061700, 2061702, 2061706, 217588, 217594, 231452, 231453, 231455, 2368186, 245019, 2455774, 2455776, 2643562, 2713526, 2798938, 2915322, 2915323, 2915327, 2951883, 3165111, 3310962, 332400, 332401, 360949, 3701822, 377418, 3798241, 3798247, 3836151, 388338, 3918785, 3918787, 3969005, 3989976, 3997733, 4046976, 4185812, 4185814, 4264121, 4264124, 4264127, 4264128, 4264129, 4271667, 4282153, 4447598, 4447601, 4490071, 4539654, 4539657, 4539660, 4625343, 4634425, 4902096, 4976411, 5010072, 5020788, 5077704, 5077705, 5077707, 512199, 5123256, 5144927, 5171599, 5171603, 5305311, 541655, 5567407, 5601322, 5679983, 581145, 5825399, 5828353, 5843047, 6090334, 615407, 6293679, 6303284, 6434592, 644688, 6485504, 6487981, 6508151, 6536612, 6697437, 6704661, 6889357, 6894608, 7129904, 7157818, 7407803, 7407804, 7407811, 7407812, 7496116, 7507613, 7529434, 753805, 7548356, 7599536, 769287, 7696389, 791676, 7916958, 811946, 8139872, 8181574, 8181579, 8283527, 8283528, 8283530, 8283531, 8283532, 8710428, 8730434, 8814767, 8835172, 958231, 985488, 985490, 985491, 985492, 985493, 985494]	[2, 1, 2, 1, 0, 1, 1, 2, 1, 2, 2, 2, 0, 1, 1, 1, 1, 2, 0, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 0, 2, 1, 2, 2, 1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 3, 1, 2, 2, 0, 1, 1, 1, 0, 1, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 0, 1, 1, 2, 0, 1, 1, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 2, 2, 2, 1, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 2, 1, 1, 1, 1, 0, 0, 3, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 2, 1, 2]
527433	[1000485, 1101462, 1187918, 1212778, 1212782, 1212784, 1212785, 1212786, 1212787, 1251475, 129387, 1317224, 1317225, 1379236, 1379237, 1379238, 1379239, 1379240, 1379242, 1379245, 1404580, 1664517, 1664518, 1664523, 1721940, 1993691, 1993699, 2045580, 2281137, 2331982, 2496224, 2496227, 2573888, 2649533, 269423, 269425, 269428, 269430, 272148, 2767587, 2773789, 286674, 288675, 2931558, 2931559, 2931562, 3093197, 3224400, 3224403, 3224404, 3256671, 3405417, 3425595, 3425601, 3425604, 3774355, 3774357, 3774358, 3774360, 3827084, 3827087, 3835729, 3835731, 3835734, 3835735, 3835736, 3973282, 3973283, 3973284, 3973285, 3973286, 3973287, 3973288, 3973290, 4064455, 432993, 452708, 452715, 467601, 4903731, 4952129, 4952135, 4958696, 4958697, 5034544, 5034546, 5121382, 5295980, 5401184, 542050, 5466805, 5466807, 5466810, 5466811, 547444, 5479497, 5479502, 5501454, 5603298, 5690943, 5690947, 5878263, 6015376, 6032636, 6038398, 6038411, 6045939, 6065675, 6065678, 6065681, 6184080, 6186391, 6214994, 6214995, 6215001, 6215002, 6398043, 6498113, 653103, 6667277, 6803516, 6889396, 6950955, 7051394, 7105525, 7105528, 7105531, 7182504, 7226291, 7252838, 7252840, 729489, 7347241, 7357591, 7514088, 7572901, 7607669, 7607672, 7787755, 7799466, 7904112, 7932171, 7991767, 8126064, 8306449, 8306451, 8322920, 8362259, 8371764, 8536842, 8586716, 8615714, 8617269, 8617271, 8617274, 8633563, 8737880, 8827928, 890536, 975967]	[3, 0, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 2, 1, 1, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 2, 1, 1, 1, 1, 2, 0, 2, 0, 3, 1, 0, 0, 0, 0, 0, 2, 3, 1, 2, 0, 1, 1, 0, 0, 2, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 1, 0, 1, 0, 0, 1, 2, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 3, 1, 1, 2, 1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 0, 3, 2, 0, 1, 1, 1, 2]
130510	[1046258, 1110766, 1156210, 1159414, 1211365, 1262138, 1285561, 1481524, 1494930, 1494931, 1494932, 1494933, 1494934, 1494935, 1494936, 1494937, 1494938, 1494939, 1697724, 1799013, 1804608, 1941397, 1963510, 203714, 2061700, 2061702, 2061706, 2079375, 2174992, 217594, 2490150, 2490152, 2862518, 2862522, 2982053, 2982054, 3163980, 338927, 3390323, 3394642, 3573382, 3804023, 388338, 3913778, 3995677, 4022904, 4022909, 4189500, 4262865, 4490071, 4528805, 4528807, 4528808, 5022837, 5144927, 537152, 5685706, 5731519, 5791395, 5914270, 5930013, 5981957, 5984054, 6055693, 617865, 6183638, 6229732, 6229733, 6323613, 6391770, 6418949, 6486232, 6621100, 6763277, 6766748, 6815300, 6862766, 6881818, 6881820, 6881821, 6960326, 7007667, 7079881, 7092536, 7098470, 7125239, 7127694, 7136329, 7136333, 7186622, 7203252, 7386954, 7479905, 7501557, 7501558, 7501560, 7501562, 7501563, 7507613, 7603931, 7671741, 769287, 7717230, 7792405, 779340, 783662, 783665, 7861502, 79445, 799647, 8029019, 8094068, 8180119, 8213952, 8223834, 8287352, 8290938, 8362399, 8391407, 8514425, 8612902, 8612903, 8612904, 8612905, 8612906, 8612908, 8612909, 8612910, 8762809, 978177, 978180, 996732, 996740]	[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 2, 0, 3, 0, 3, 3, 0, 0, 0, 1, 1]
405717	[1111371, 1111372, 1111375, 1538943, 1538949, 1589738, 1594706, 1619423, 1849743, 1984962, 2089, 2125637, 2125641, 2354132, 2365659, 2365660, 2365661, 2365663, 2365665, 2514107, 2642838, 2702419, 2702423, 2702426, 273851, 2747484, 2747485, 2747486, 2747488, 2747491, 2747492, 2759862, 2768521, 28365, 2879959, 2879960, 2879964, 3007835, 3007837, 3033898, 3033900, 3033903, 3033904, 3033905, 3033907, 305214, 3274915, 3274918, 3514259, 3730200, 3986303, 3986305, 3986307, 3986308, 3986309, 4196816, 4212551, 4418059, 4489661, 4489666, 4704975, 4704978, 4776926, 4828118, 4904116, 506336, 5079482, 5079484, 5079486, 5079487, 5110256, 5219521, 5274649, 5428443, 5428444, 5615458, 5638740, 5641165, 5668741, 5690233, 5690234, 5690236, 5690237, 5690238, 5690239, 5690240, 576346, 6019053, 6020673, 619037, 6419725, 6426483, 6442862, 659101, 6654653, 6654655, 6678050, 6786303, 6786304, 6917254, 702383, 702386, 702391, 7170625, 7170626, 7170629, 7170630, 7170631, 7201359, 7201361, 7259325, 7288996, 7442727, 7447941, 7447942, 7447943, 7464807, 758582, 758586, 7631901, 7727353, 7728831, 7817131, 7896210, 7896211, 7896212, 7965240, 8156519, 8272571, 8433852, 8433854, 8433856, 8433857, 8433858, 846414, 84778, 8532416, 8610271, 8792407, 931517, 947024, 963392, 963395, 963396]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1106007	[1020463, 1040867, 1195441, 1334328, 1334330, 1334331, 1334332, 1334334, 1334335, 1334336, 1342527, 1495798, 152843, 1530299, 1560237, 1560243, 1601160, 1628786, 1646610, 1692218, 1817847, 1869447, 1905163, 1905166, 1922002, 1985054, 1985824, 2002045, 2061700, 2061702, 2061706, 2143418, 217594, 2188708, 2379603, 2384069, 2430920, 2464375, 2503631, 2513604, 2513608, 2513609, 2602346, 2602354, 2621974, 2621980, 2621981, 2672601, 2672608, 2704141, 272753, 272761, 2770271, 2827493, 2830035, 2838380, 2866630, 2866634, 293370, 2957674, 2960558, 2960561, 2960563, 2960564, 2960566, 305023, 305024, 3137010, 3261871, 3269501, 3377051, 3470705, 3530021, 3537614, 3573382, 3686197, 388338, 3911816, 3935902, 4036926, 4089153, 4173705, 4173709, 4173712, 4255223, 4382104, 4490071, 4787149, 4787153, 4787155, 4787157, 483330, 4953437, 4997344, 5144927, 5174765, 5204536, 5204538, 5228015, 5228016, 5279699, 5279702, 5279704, 5468859, 5479544, 5716681, 5774818, 5780384, 5780388, 5780391, 5836920, 5900134, 6032859, 6126194, 6163205, 6282108, 6303269, 6523354, 6582343, 6628124, 6942456, 6958146, 701607, 7022723, 7042681, 7042683, 7500585, 7500586, 7500587, 7507613, 751502, 765658, 765663, 7685380, 7685382, 7685383, 7685384, 7685385, 7685388, 769287, 7726655, 7797163, 7797167, 788333, 7948406, 8017047, 8137967, 8141086, 8141088, 817030, 8179612, 8199520, 8199521, 8199523, 8199524, 8204457, 8204460, 8204462, 8204463, 8204464, 8398353, 8417995, 8428884, 8482490, 8489755, 8502783, 8521668, 8521673, 8596072, 8596078, 8685446, 8685453, 8742532, 883073, 920778, 954035, 954040, 99720]	[1, 0, 0, 2, 3, 2, 0, 2, 3, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0, 1, 0, 0, 2, 0, 1, 0, 0, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 3, 2, 0, 0, 2, 3, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 2, 2, 1, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 1, 0, 0, 0, 2, 1, 0]
