id,corpus-id,score
0,"['8230720', '2457894', '2075884', '5452265', '8224661', '7624680', '5162349', '4846316', '7605405', '6936162']",-1
1,"['490319', '6034326', '1377560', '6716508', '5358919', '8679516', '1659152', '1258162', '6084550', '1082793']",-1
2,"['4397731', '2625755', '127773', '4645997', '7252948', '5754533', '6075551', '4077720', '641369', '3768689']",-1
3,"['3712506', '424752', '4414682', '6153734', '521444', '1921365', '7006522', '5647887', '1917461', '4128789']",-1
4,"['494071', '3741905', '1359736', '6632697', '6155024', '79833', '2792106', '3016921', '8776376', '5731171']",-1
5,"['4939108', '6617012', '2336602', '4791023', '8373713', '6653461', '8328290', '4921472', '6971928', '3706671']",-1
6,"['1025556', '2351852', '3152907', '1696870', '1327991', '8078326', '4779902', '5414895', '1104290', '622312']",-1
7,"['4277292', '4220126', '6796403', '5712762', '6928008', '7332373', '2193085', '1554607', '6648854', '1891956']",-1
8,"['6904480', '6730172', '432268', '4642310', '7139740', '2084840', '3715233', '8485023', '6041518', '8084947']",-1
9,"['7124957', '8108148', '1879688', '6498653', '4925954', '431372', '4714849', '1697630', '4184138', '4385297']",-1
10,"['3770717', '6238344', '411479', '6192121', '1621544', '463398', '2093133', '1453757', '2523416', '595116']",-1
11,"['6432272', '5620660', '4351396', '7570145', '2866913', '203905', '1636474', '5453318', '3350826', '3632034']",-1
12,"['6432272', '5620660', '4351396', '7570145', '2866913', '203905', '1636474', '5453318', '3350826', '3632034']",-1
13,"['925107', '4876843', '4645584', '1376546', '4641593', '1065623', '8260116', '4315260', '6146872', '1486793']",-1
14,"['5823594', '426764', '4352660', '5705671', '8012647', '8054279', '1242792', '7502533', '4748798', '6706089']",-1
15,"['4647359', '605808', '8074430', '5224068', '6036104', '6317339', '749968', '3907381', '1479643', '2002830']",-1
16,"['2107052', '884243', '934607', '4245857', '6781926', '1095726', '8373391', '7999900', '1109134', '6193240']",-1
17,"['8083360', '1413058', '6882844', '4524490', '5453211', '5343204', '8535422', '3436922', '5365633', '5338572']",-1
18,"['1592690', '520750', '7972908', '4536751', '4738339', '170424', '6420242', '4768191', '5138471', '4668922']",-1
19,"['2174605', '5030648', '699800', '3829091', '5610304', '5996758', '8055221', '2634476', '7906936', '7809203']",-1
20,"['1202133', '8045330', '610861', '770809', '1991985', '2857581', '8188686', '736404', '974170', '1423854']",-1
21,"['6078884', '6787575', '911724', '4923778', '6786870', '1430539', '6354799', '5014993', '2643703', '1903919']",-1
